title,provider,rating,url,level,price,description,skill_tags,duration_weeks,effort_hours,category,language,certificate,enrolled
Research Report: Delivering Insights,"University of California, Davis",4.6,https://www.coursera.org/learn/marketing-research-report,intermediate level,0,this course is part of market research specialization,"['Marketing', 'Advertising', 'Microsoft PowerPoint', 'Data Storytelling', 'Data Synthesis', 'Target Audience', 'Market Analysis', 'Market Research', 'Verbal Communication Skills', 'Customer Insights', 'Presentations']",2.0,6.0,business,english,1,19515.0
Gender Analytics Capstone Project,University of Toronto,4.8,https://www.coursera.org/learn/gender-analytics-capstone,beginner level,5100,this course is part of gender analytics gender equity through inclusive design specialization,"['Diversity and Inclusion', 'Stakeholder Engagement', 'Data Storytelling', 'Analysis', 'Strategic Communication', 'Design Thinking', 'Innovation', 'Change Management', 'Systems Thinking', 'Quantitative Research']",2.0,9.0,business,english,1,2097.0
The 360 Corporation: Tools for Achieving Corporate Purpose,University of Toronto,4.8,https://www.coursera.org/learn/the-360-corporation,beginner level,0,see how all business models create trade offs that impact stakeholders and why it is urgent to address environmental and social challenges,"['Stakeholder Engagement', 'Stakeholder Management', 'Business Transformation', 'Governance', 'Strategic Thinking', 'Environmental Social And Corporate Governance (ESG)', 'Corporate Strategy', 'Leadership']",2.0,8.0,business,english,1,4921.0
"Managing Responsibly: Practicing Sustainability, Responsibility and Ethics",University of Manchester,4.8,https://www.coursera.org/learn/responsible-management,beginner level,0,managers are increasingly confronted with issues of sustainability responsibility and ethics managing responsibly is an integrative approach to sustainability responsibility and ethics which allows you as a manager to deal competently with such challenges this course will facilitate your learning process to engage in changing practices to make them more sustainable responsible and ethically informed we will first introduce the context of the trend towards responsible management practices week 1 we then explore the basics of each set of issues sustainability week 2 responsibility week 3 and ethics week 4 in week 5 you will work on your own responsible management issue task and explore responsible management practices in an area of professional interest e g strategy entrepreneurship innovation organization operations supply chain human resources marketing and communication international management accounting and finance in week 6 we will try to understand and experience what managing responsibly means in practice including opportunities and challenges and with a focus on transformative change during these last two weeks you will work in a problem oriented way based on a challenging topic you have come across in your own management practice in the course we will form multicultural teams to learn about problems you bring forward the course also facilitates the formation of peer networks that allow you to continue this learning experience after finishing the mooc the mooc is an initiative in collaboration with the un supported principles for responsible management education prme initiative overall learning outcomes 1 to provide an introduction to the three constituting fields of managing responsibly sustainability responsibility and ethics 2 to help apply the knowledge and insights gained from these three fields to real life problems in your own setting 3 to identify understand and facilitate individual action that can lead to change at the organisational and system level to act is to move 4 to learn to appreciate and bring together different points of view and negotiate collective solutions to pressing problems who is this mooc for recommended background while this course is primarily designed for executives who want to work on particular responsible management issues and create responsible management practices also advanced business students will find it helpful suggested readings there are no specific required texts however the contents and assignments of this course have been based on the following book which might be helpful as complementary materials laasch oliver and r conway 2014 principles of responsible management global sustainability responsibility and ethics cengage learning mason if you get fully involved in this course and apply the learning guidance and metrics within your own field you ll be an inspiring manager this was a fantastic course to learn responsible management of business the contents was grounded deep in theory and illustrated by sharing experience of many business leaders from a diverse field overall a good course which should make anyone reflect more about these topics which are sometimes left behind comparing to profit objectives of the companies,"['Organizational Change', 'Stakeholder Management', 'Governance', 'Systems Thinking', 'Environmental Social And Corporate Governance (ESG)', 'Intercultural Competence', 'Team Management', 'Team Oriented']",2.0,6.0,business,english,1,40603.0
Qualitative Research,"University of California, Davis",4.7,https://www.coursera.org/learn/qualitative-research,intermediate level,3000,this course is part of market research specialization,"['Research', 'Report Writing', 'Market Research', 'Research Methodologies', 'Recruitment Strategies', 'Recruitment', 'Research Reports', 'Discussion Facilitation', 'Qualitative Research', 'Focus Group']",1.0,5.5,business,english,1,36000.0
"Visionary leadership, identity & motivation: Become a meaning maker",Macquarie University,4.9,https://www.coursera.org/learn/visionary-leadership-meaning-maker,beginner level,2900,this course is part of leading human resource management and leadership specialization,"['Industrial and Organizational Psychology', 'Communication', 'Cultural Responsiveness', 'Strategic Leadership', 'Storytelling', 'Performance Measurement', 'Organizational Leadership', 'Employee Engagement']",2.0,1.0,business,english,1,41928.0
Social Media and Social Content Strategy,Digital Marketing Institute,4.4,https://www.coursera.org/learn/social-media-social-content-strategy,beginner level,5900,this course is part of social media marketing in practice specialization,"['Facebook', 'Customer Engagement', 'Social Media', 'Social Media Strategy', 'Content Strategy', 'Social Media Marketing', 'Social Media Management', 'Content Performance Analysis', 'Paid media', 'Instagram']",1.0,5.5,business,english,1,18696.0
Preparing for Your Retail Customer Service Role,CVS Health,4.2,https://www.coursera.org/learn/preparing-retail-customer-service-role,beginner level,5500,this course is part of cvs health retail customer service professional certificate,"['Keyword Research', 'Communication', 'Professionalism', 'Call Center Experience', 'Customer Service', 'Conflict Management', 'Customer Complaint Resolution', 'Interviewing Skills', 'Verbal Communication Skills']",2.0,5.0,business,english,1,0.0
"Fundamentals of Management, with Goldman Sachs 10,000 Women",Goldman Sachs,4.7,https://www.coursera.org/learn/10k-women-8,beginner level,4000,evaluate effective hiring practices,"['Business Strategy', 'Organizational Structure', 'Employee Performance Management', 'Human Resources Management and Planning', 'Talent Management', 'Delegation Skills', 'People Management', 'Subcontracting']",2.0,4.0,business,english,0,30231.0
Industrial Relations: Fostering Workplace Climate,Coursera Instructor Network,4.8,https://www.coursera.org/learn/industrial-relations-fostering-workplace-climate,beginner level,4800,understand the background and relevance of industrial relations in the workplace,"['Diversity and Inclusion', 'Communication', 'Human Resources', 'Conflict Management', 'Employee Relations', 'Labor Law', 'Compliance Management', 'Employee Engagement', 'Cross-Functional Collaboration']",2.0,3.0,business,english,1,1540.0
